Year,Value
1993,6.174768
1994,7.488567
1995,8.509795
1996,9.079805
1997,10.218646
1998,11.750582
1999,12.703206
2000,13.300354
2001,16.843108
2002,19.859663
2003,25.253882
2004,23.086412
2005,22.050307
2006,21.247594
2007,19.817009
2008,17.989666
2009,19.678886
2010,21.311071
2011,21.272336
2012,21.643354
2013,21.883791
2014,22.580265
2015,23.5773
2016,25.093388
2017,26.046173
2018,26.056706
2019,28.117342
2020,29.651869
2021,35.059828
