Year,Value
1993,15.90924243
1994,15.70716644
1995,15.66037921
1996,15.57595515
1997,15.56891943
1998,15.59418874
1999,15.71538273
2000,16.02640513
2001,16.10713408
2002,15.71953643
2003,14.39349407
2004,15.66910685
2005,20.85255682
2006,21.46753496
2007,22.94370444
2008,27.0749119
2009,27.48326794
2010,25.62098855
2011,24.93797639
2012,24.22423414
2013,24.63346762
2014,24.84124579
2015,24.94425316
2016,22.95431006
2017,23.63002874
2018,23.10572849
2019,21.83242309
2020,18.87048523
2021,16.46279722
