Year,Value
1993,58.21139453
1994,58.71108817
1995,59.45323958
1996,60.26865911
1997,61.01886601
1998,62.55002016
1999,64.06795074
2000,64.79917528
2001,65.55873611
2002,65.64973452
2003,66.3802221
2004,67.53032389
2005,68.17724167
2006,69.02482648
2007,69.92540241
2008,70.4485223
2009,70.72103267
2010,70.77348157
2011,70.71253377
2012,70.64426842
2013,70.53808701
2014,70.42575953
2015,70.29744509
2016,70.15902873
2017,70.07390682
2018,70.0432738
2019,70.09283901
2020,70.17574126
2021,70.19171736
