Year,Value
1993,1802.379956
1994,2007.471176
1995,1870.713392
1996,2237.865731
1997,1634.180413
1998,1979.384854
1999,2823.455604
2000,2229.40096
2001,3184.513814
2002,2227.486813
2003,4814.607497
2004,4603.282264
2005,2860.166213
2006,4622.582159
2007,4098.729828
2008,989.747256
2009,2791.131344
2010,3257.470762
2011,3147.26834
2012,2789.168448
2013,2859.785178
2014,2770.516372
2015,2703.415917
2016,2701.568713
2017,2355.381717
2018,1082.973411
2019,-5117.947477
2020,5608.08007
