Year,Value
2010,149663.771
2011,148225.1955
2012,147593.2621
2013,147031.9133
2014,145467.4725
2015,143115.5422
2016,141026.3814
2017,138845.4297
2018,138084.8224
2019,135846.8871
2020,125557.7751
2021,129129.0599
2022,130586.8259
